"","Rk","Name","YoB","Votes","%vote","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","OPS+","W","L","ERA","ERA+","WHIP","G","GS","SV","IP","H","HR","BB","SO","Pos Summary","HoF"
"207","7","Todd Helton HOF","3rd","180","44.9%","175","59","17","61.8","46.6","54.2","53.4","2247","7962","1401","2519","369","1406","37","1335",".316",".414",".539",".953","133","","","","","","","","","","","","","","*3H/7D9",0
"208","8","Gary Sheffield","7th","163","40.6%","158","61","22","60.5","38.0","49.3","56.7","2576","9217","1636","2689","509","1676","253","1475",".292",".393",".514",".907","140","","","","","","","","","","","","","","*9*7*5*D6H/3",0
"209","9","Andruw Jones","4th","136","33.9%","109","34","17","62.7","46.4","54.6","58.2","2196","7599","1204","1933","434","1289","152","891",".254",".337",".486",".823","111","","","","","","","","","","","","","","*89H7D/3",0
"210","10","Jeff Kent","8th","130","32.4%","123","51","17","55.4","35.8","45.6","57.1","2298","8498","1320","2461","377","1518","94","801",".290",".356",".500",".855","123","","","","","","","","","","","","","","*453H/D6",0
"211","11","Manny Ramirez","5th","113","28.2%","226","69","19","69.3","39.9","54.6","53.4","2302","8244","1544","2574","555","1831","38","1329",".312",".411",".585",".996","154","","","","","","","","","","","","","","*7*9*DH",0
"212","12","Sammy Sosa","9th","68","17.0%","202","52","18","58.6","43.8","51.2","56.7","2354","8813","1475","2408","609","1667","234","929",".273",".344",".534",".878","128","","","","","","","","","","","","","","*98DH/7",0
"213","13","Andy Pettitte","3rd","55","13.7%","128","44","18","60.2","34.1","47.2","61.5","108","196","6","27","1","13","0","6",".138",".163",".184",".346","-10","256","153","3.85","117","1.351","531","521","0","3316.0","3448","288","1031","2448","*1/H",0
"214","14","Mark Buehrle","1st","44","11.0%","52","31","16","59.1","35.8","47.4","61.5","55","125","4","9","1","3","0","2",".072",".087",".112",".199","-47","214","160","3.81","117","1.281","518","493","0","3283.1","3472","361","734","1870","*1",0
"215","15","Torii Hunter","1st","38","9.5%","58","34","19","50.7","30.8","40.7","58.2","2372","8857","1296","2452","353","1391","195","661",".277",".331",".461",".793","110","","","","","","","","","","","","","","*8*9DH/7",0
"216","16","Bobby Abreu","2nd","35","8.7%","95","54","18","60.2","41.6","50.9","56.7","2425","8480","1453","2470","288","1363","400","1476",".291",".395",".475",".870","128","","","","","","","","","","","","","","*9DH7/8",0
"217","17","Tim Hudson","1st","21","5.2%","66","42","17","57.9","38.3","48.1","61.5","297","613","35","98","4","42","0","26",".160",".196",".214",".410","10","222","133","3.49","120","1.239","482","479","0","3126.2","2957","248","917","2080","*1/HD",0
"218","18","X-Aramis Ramírez","1st","4","1.0%","85","39","18","32.4","29.4","30.9","56.3","2194","8136","1098","2303","386","1417","29","633",".283",".341",".492",".833","115","","","","","","","","","","","","","","*5H/D3",0
"219","19","X-LaTroy Hawkins","1st","2","0.5%","36","4","21","17.8","16.1","17.0","32.5","528","8","0","0","0","0","0","0",".000",".000",".000",".000","-100","75","94","4.31","106","1.406","1042","98","127","1467.1","1607","163","456","983","*1",0
"220","20","X-Barry Zito","1st","1","0.2%","48","19","15","31.9","30.6","31.3","61.5","213","344","12","35","0","11","0","18",".102",".146",".102",".248","-31","165","143","4.04","105","1.337","433","421","0","2576.2","2381","282","1064","1885","*1/H",0
"221","21","X-Dan Haren","1st","0","0.0%","30","26","13","35.1","33.2","34.1","61.5","218","414","31","83","2","39","0","17",".200",".233",".278",".511","36","153","131","3.75","109","1.181","391","380","1","2419.2","2357","305","500","2013","*1/H",0
"222","22","X-Michael Cuddyer","1st","0","0.0%","26","19","15","17.8","15.4","16.6","56.7","1536","5488","809","1522","197","794","75","527",".277",".344",".461",".805","113","0","0","0.00","","3.000","1","0","0","1.0","2","0","1","0","*935H47D/81",0
"223","23","X-Nick Swisher","1st","0","0.0%","14","19","12","21.4","23.5","22.5","56.7","1527","5369","805","1338","245","803","13","817",".249",".351",".447",".799","113","0","0","0.00","","2.000","1","0","0","1.0","1","0","1","1","*9*378DH/1",0
"224","24","X-Shane Victorino","1st","0","0.0%","32","15","12","31.5","28.9","30.2","58.2","1299","4630","731","1274","108","489","231","381",".275",".340",".425",".765","102","","","","","","","","","","","","","","*8*97H",0
