"","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","Batter_G","AB","R","Batter_H","Batter_HR","RBI","SB","Batter_BB","BA","OBP","SLG","OPS","OPS+","HoF"
"48",18,19,13,28.1,24,26,55.5,1561,5805,718,1488,188,688,8,411,0.256,0.305,0.408,0.714,91,0
"49",36,16,11,31.2,28,29.6,58.2,1235,4846,749,1376,104,512,343,399,0.284,0.342,0.417,0.76,103,0
"50",47,21,11,24.8,24.6,24.7,53.4,1278,4505,737,1200,222,754,95,636,0.266,0.36,0.481,0.841,121,0
"51",108,44,20,50.5,42.2,46.3,53.4,2260,7267,1227,2010,440,1441,20,1366,0.277,0.399,0.516,0.916,139,0
"52",108,38,15,41.7,30.4,36,44.3,2085,7627,1030,2195,75,744,189,721,0.288,0.366,0.378,0.744,95,0
"53",54,31,15,24.2,18.8,21.5,44.3,1546,5099,664,1307,193,757,25,614,0.256,0.341,0.435,0.776,99,0
"54",19,23,15,29.2,27.5,28.3,56.7,1583,5484,883,1465,229,799,132,764,0.267,0.36,0.455,0.816,117,0
"55",150,59,15,79.9,48.4,64.2,53.4,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,1
"56",150,59,15,79.9,48.4,64.2,53.4,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,0
"57",123,51,17,55.4,35.8,45.6,57.1,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,0
"58",49,25,14,20.3,23.3,21.8,56.7,1763,6487,984,1779,325,1072,46,597,0.274,0.338,0.488,0.826,111,0
"59",34,24,15,30.4,26.5,28.5,55.5,1798,6599,841,1761,202,873,17,606,0.267,0.329,0.423,0.752,102,0
"60",89,39,17,60.4,42.6,51.5,58.2,2011,6858,1251,1949,393,1199,67,998,0.284,0.376,0.527,0.903,132,0
